avg_salary_k,rating,size,job_location,age,python,visual_software,ML_software,spark,aws,excel,sql,sas,hadoop,degree,in_CA,senior_status
72.0,3.8,501 - 1000 ,NM,48,1,1,0,0,0,1,0,1,0,MS,False,False
87.5,3.4,10000+ ,MD,37,1,0,0,0,0,0,0,0,0,MS,False,False
85.0,4.8,501 - 1000 ,FL,11,1,0,0,1,0,1,1,1,0,MS,False,False
76.5,3.8,1001 - 5000 ,WA,56,1,0,0,0,0,0,0,0,0,Other,False,False
114.5,2.9,51 - 200 ,NY,23,1,0,0,0,0,1,1,1,0,Other,False,False
95.0,3.4,201 - 500 ,TX,21,1,1,0,0,1,1,1,0,0,Other,False,False
73.5,4.1,501 - 1000 ,MD,13,0,0,0,0,0,1,0,0,0,Other,False,False
114.0,3.8,201 - 500 ,CA,16,1,0,1,1,1,1,1,0,0,MS,True,False
61.0,3.3,10000+ ,NY,7,0,0,0,0,0,0,0,0,0,PHD,False,False
140.0,4.6,51 - 200 ,NY,12,1,0,0,1,0,0,0,0,0,Other,False,False
163.5,3.5,501 - 1000 ,CA,10,1,0,0,0,0,0,0,0,0,Other,True,False
85.0,4.1,5001 - 10000 ,VA,53,0,0,0,0,0,0,1,0,1,Other,False,False
139.0,3.2,10000+ ,TX,59,0,0,0,0,0,0,1,0,1,MS,False,False
65.5,4.1,201 - 500 ,WA,9,1,1,0,1,1,1,1,0,0,Other,False,False
113.5,3.7,10000+ ,MA,240,1,0,1,1,0,0,1,0,0,MS,False,False
146.0,3.6,1001 - 5000 ,NJ,26,0,0,0,0,0,1,0,0,0,Other,False,False
102.0,3.9,51 - 200 ,MA,10,0,0,0,0,0,1,0,0,0,PHD,False,False
153.5,4.3,201 - 500 ,CA,10,1,0,0,1,1,1,0,0,1,MS,True,False
142.5,4.2,51 - 200 ,CA,11,0,0,0,0,0,0,1,0,0,Other,True,False
87.5,4.0,501 - 1000 ,CO,106,1,0,1,0,0,1,1,0,0,MS,False,False
105.5,3.2,201 - 500 ,WA,9,1,0,0,1,0,0,1,0,0,MS,False,False
96.0,3.9,201 - 500 ,TX,8,0,0,0,0,0,1,0,0,0,PHD,False,True
112.5,3.8,501 - 1000 ,IL,26,1,0,0,0,1,1,1,0,0,MS,False,False
84.0,4.3,51 - 200 ,KY,86,1,1,0,0,0,1,1,0,0,MS,False,False
143.0,4.0,501 - 1000 ,VA,9,1,0,1,0,1,0,0,0,0,Other,False,False
86.5,4.0,10000+ ,MA,172,1,0,0,0,1,1,0,0,0,Other,False,False
99.5,3.5,1001 - 5000 ,OR,69,1,1,1,1,1,1,1,0,0,Other,False,False
47.5,3.7,5001 - 10000 ,MA,169,0,0,0,0,0,1,0,0,0,Other,False,False
84.0,4.0,10000+ ,CT,172,0,0,0,0,1,1,0,0,0,MS,False,False
96.0,3.6,1001 - 5000 ,MI,24,1,0,0,0,0,0,1,1,0,MS,False,False
114.5,3.8,10000+ ,MA,25,1,0,1,0,0,0,0,0,0,Other,False,False
121.0,3.8,5001 - 10000 ,CA,25,1,0,1,1,0,1,1,0,0,MS,True,False
112.5,4.7,201 - 500 ,MA,47,1,0,0,0,0,1,0,0,0,Other,False,False
106.0,4.2,201 - 500 ,CA,13,1,1,0,0,0,1,1,0,0,Other,True,False
107.0,3.5,1001 - 5000 ,CA,52,1,1,0,1,1,0,0,0,1,MS,True,False
110.0,4.7,201 - 500 ,MA,11,1,0,1,1,0,1,1,0,1,PHD,False,False
147.5,3.5,5001 - 10000 ,CA,151,1,0,0,0,0,1,0,0,0,MS,True,True
106.0,3.5,201 - 500 ,NY,36,1,0,0,0,0,1,1,0,0,MS,False,False
88.0,4.2,201 - 500 ,CA,13,1,1,0,0,1,1,1,0,0,Other,True,False
142.5,4.2,51 - 200 ,CA,11,0,0,0,0,0,0,0,0,0,MS,True,False
82.5,3.4,5001 - 10000 ,NJ,6,0,0,0,0,1,0,0,0,0,MS,False,False
130.0,4.3,1001 - 5000 ,IL,28,1,1,1,1,0,1,1,0,1,MS,False,True
184.5,3.7,10000+ ,WA,63,1,1,0,0,0,1,1,1,0,Other,False,True
29.5,3.1,5001 - 10000 ,CO,35,0,0,0,0,0,1,0,0,0,MS,False,False
86.5,4.7,501 - 1000 ,OH,22,0,0,0,0,0,0,0,0,0,MS,False,False
81.0,3.7,10000+ ,IL,96,0,1,0,0,0,0,0,0,0,Other,False,False
91.0,3.8,501 - 1000 ,FL,37,1,1,0,0,0,1,1,0,1,Other,False,False
114.5,3.3,10000+ ,MA,109,1,0,0,0,0,0,0,0,0,Other,False,False
68.0,4.6,1001 - 5000 ,AL,19,1,1,0,0,0,1,0,0,0,Other,False,False
115.0,3.7,10000+ ,NY,158,1,0,0,0,0,1,1,0,0,MS,False,False
109.5,3.7,10000+ ,CA,82,0,1,0,0,0,1,1,0,0,Other,True,False
75.5,3.5,5001 - 10000 ,NM,151,1,0,0,0,0,1,0,0,0,MS,False,False
154.5,4.1,501 - 1000 ,CA,9,1,0,1,1,0,1,0,0,0,PHD,True,False
143.5,4.7,51 - 200 ,MO,5,1,0,1,1,0,0,1,0,0,Other,False,False
107.0,4.4,201 - 500 ,OH,136,1,1,0,0,1,0,1,0,0,MS,False,True
115.0,4.3,201 - 500 ,NY,10,1,1,0,1,1,0,1,0,1,Other,False,False
139.5,3.8,501 - 1000 ,CA,15,0,0,0,0,0,0,1,1,0,MS,True,True
67.0,3.8,1001 - 5000 ,WA,56,0,0,1,0,0,0,0,0,0,MS,False,False
85.0,3.8,10000+ ,PA,73,1,0,1,0,0,0,1,0,0,MS,False,False
118.0,2.8,51 - 200 ,MA,15,1,0,0,0,0,1,1,0,0,PHD,False,False
79.5,4.7,51 - 200 ,GA,18,1,0,1,0,0,1,1,0,0,Other,False,False
56.5,3.1,201 - 500 ,MA,22,1,1,0,0,0,0,1,0,0,Other,False,False
97.5,4.0,10000+ ,WA,82,0,0,0,0,0,0,0,0,0,MS,False,False
66.5,4.4,1 - 50 ,IN,6,1,1,0,0,0,0,0,0,0,Other,False,False
179.5,3.6,10000+ ,IL,94,1,0,0,0,0,1,1,1,0,MS,False,False
76.0,2.7,501 - 1000 ,MO,43,0,0,0,0,0,1,0,0,0,PHD,False,False
112.0,3.9,501 - 1000 ,VA,11,1,0,0,1,0,0,1,0,1,MS,False,True
98.0,3.1,1001 - 5000 ,PA,161,1,0,1,0,0,0,0,0,0,MS,False,False
128.0,4.0,10000+ ,WA,82,0,0,1,1,1,0,1,0,0,MS,False,True
150.5,4.3,201 - 500 ,CA,10,1,0,1,1,1,1,0,0,1,PHD,True,False
87.5,1.9,51 - 200 ,MA,21,0,0,0,0,1,0,0,0,0,MS,False,False
110.0,3.3,1001 - 5000 ,VA,4,1,0,1,0,0,1,0,0,1,Other,False,False
113.5,4.4,10000+ ,CA,26,1,0,0,0,0,1,0,0,0,Other,True,False
124.0,3.9,51 - 200 ,CA,5,1,0,0,0,0,0,1,0,0,Other,True,False
56.5,4.7,201 - 500 ,PA,24,0,0,0,0,0,1,0,0,0,Other,False,False
130.0,4.5,5001 - 10000 ,MD,79,1,0,0,0,0,1,0,0,0,Other,False,False
77.5,4.3,51 - 200 ,IL,13,0,0,0,0,0,1,1,0,0,Other,False,False
87.0,4.0,201 - 500 ,VA,19,1,0,0,0,1,1,1,0,0,Other,False,False
53.5,4.4,501 - 1000 ,WA,73,0,0,0,0,0,1,0,0,0,Other,False,False
85.5,4.2,501 - 1000 ,FL,13,1,0,0,1,0,1,1,0,1,Other,False,False
48.0,4.5,51 - 200 ,AL,25,0,0,0,0,0,1,1,0,1,Other,False,False
48.0,3.5,51 - 200 ,LA,22,0,0,0,0,0,1,1,0,0,Other,False,False
174.0,3.5,201 - 500 ,CA,31,0,0,0,0,0,1,0,0,0,MS,True,True
85.0,3.9,5001 - 10000 ,GA,53,1,0,0,1,0,0,1,1,0,Other,False,False
106.5,4.7,51 - 200 ,MD,18,0,0,0,0,0,0,0,0,0,Other,False,False
72.5,4.2,1001 - 5000 ,MD,33,0,0,0,0,0,1,0,0,0,Other,False,False
85.5,3.4,10000+ ,MD,25,0,0,0,0,0,0,0,0,0,MS,False,False
97.5,3.2,5001 - 10000 ,VA,63,1,1,0,0,0,1,1,1,0,Other,False,False
99.0,3.9,501 - 1000 ,VA,11,1,1,0,0,0,1,0,0,0,Other,False,False
56.5,3.1,1001 - 5000 ,WI,20,0,0,0,0,0,1,1,0,0,Other,False,False
133.0,4.1,1 - 50 ,MD,14,1,0,0,0,0,0,0,0,0,Other,False,True
121.0,3.8,51 - 200 ,NY,9,1,0,1,1,0,0,0,0,0,Other,False,False
85.5,4.7,501 - 1000 ,NY,29,1,0,0,0,0,0,1,0,0,MS,False,False
87.5,4.3,1001 - 5000 ,TX,6,1,0,1,0,0,0,1,0,0,Other,False,False
237.5,4.2,1001 - 5000 ,DC,86,1,0,0,0,0,1,0,0,0,MS,False,True
95.5,3.9,1001 - 5000 ,NC,24,1,1,0,1,0,0,1,0,0,MS,False,False
104.5,3.3,10000+ ,MI,27,1,1,0,1,1,1,1,0,0,MS,False,True
56.5,4.7,201 - 500 ,NJ,9,0,1,0,0,0,1,1,0,0,Other,False,False
55.0,4.3,201 - 500 ,AZ,11,0,1,0,0,0,1,1,0,0,Other,False,True
61.5,2.9,1001 - 5000 ,NE,44,0,0,0,0,0,1,0,0,0,PHD,False,False
157.0,4.5,201 - 500 ,CA,15,0,0,0,1,1,0,0,0,0,Other,True,False
78.0,3.4,201 - 500 ,NJ,2,1,0,0,0,0,0,1,0,0,Other,False,False
132.5,3.2,51 - 200 ,CA,6,0,0,1,1,0,1,0,0,0,MS,True,False
108.0,4.0,5001 - 10000 ,CA,39,1,0,0,1,0,0,1,0,1,MS,True,False
80.5,4.6,501 - 1000 ,IN,84,0,0,0,0,0,0,0,0,0,Other,False,False
107.5,2.8,201 - 500 ,MD,21,1,0,0,0,0,0,0,0,0,MS,False,False
95.0,4.7,51 - 200 ,MN,25,0,0,0,1,1,0,1,0,1,Other,False,False
119.5,3.0,1001 - 5000 ,CA,24,1,1,0,1,0,0,1,1,0,MS,True,False
134.0,3.2,1001 - 5000 ,NC,21,0,0,0,1,1,0,1,0,0,Other,False,True
100.5,4.4,201 - 500 ,MA,22,1,1,1,0,0,1,1,0,0,Other,False,False
107.5,3.5,1001 - 5000 ,OH,143,1,1,0,0,0,0,1,0,0,MS,False,False
122.0,4.0,51 - 200 ,DC,6,1,0,0,1,1,0,1,0,0,Other,False,False
92.5,4.3,1001 - 5000 ,IL,28,1,0,0,1,0,1,1,0,1,Other,False,False
62.0,2.3,501 - 1000 ,MD,35,0,0,0,0,0,1,1,0,0,Other,False,False
39.5,4.0,51 - 200 ,AL,21,0,0,0,0,0,0,0,0,0,Other,False,False
107.5,3.6,1001 - 5000 ,CA,55,0,1,0,0,0,1,0,0,0,MS,True,False
40.5,3.8,501 - 1000 ,MO,4,1,1,0,0,1,1,1,0,0,Other,False,False
89.5,3.7,10000+ ,VA,63,1,1,0,1,0,0,1,0,1,MS,False,True
81.0,4.4,201 - 500 ,IL,13,1,1,0,0,1,1,1,0,1,Other,False,False
147.0,4.0,501 - 1000 ,VA,9,1,0,1,0,1,0,0,0,0,Other,False,True
85.0,3.2,1001 - 5000 ,TX,63,1,1,0,0,0,1,1,1,0,Other,False,False
81.5,2.9,1001 - 5000 ,CA,50,0,0,0,0,0,1,0,0,0,MS,True,False
168.0,3.8,1001 - 5000 ,CA,24,0,0,0,0,0,1,0,0,0,PHD,True,False
100.5,4.3,1 - 50 ,CO,14,1,0,1,1,1,1,1,0,1,Other,False,False
97.0,3.4,1001 - 5000 ,NY,78,1,1,0,1,0,1,1,0,1,MS,False,False
132.5,5.0,51 - 200 ,FL,4,0,0,0,0,0,0,0,0,0,Other,False,False
100.0,4.3,51 - 200 ,IL,13,0,0,0,1,0,1,1,0,0,Other,False,False
105.0,3.7,201 - 500 ,CO,10,1,0,0,0,0,0,1,0,0,MS,False,True
103.5,4.3,51 - 200 ,CA,8,0,0,0,0,0,1,1,0,0,Other,True,False
124.0,2.6,501 - 1000 ,PA,37,1,0,0,0,0,1,0,0,0,MS,False,True
67.0,3.8,1001 - 5000 ,WA,56,1,0,0,0,0,0,0,0,0,PHD,False,False
87.0,3.9,10000+ ,DC,21,0,0,0,0,0,0,0,0,0,MS,False,False
137.5,4.3,201 - 500 ,IL,10,1,0,1,1,1,1,0,0,1,PHD,False,False
100.0,3.8,201 - 500 ,OH,34,1,1,1,0,0,1,1,0,0,MS,False,True
106.5,3.8,5001 - 10000 ,TN,76,0,1,0,0,0,1,1,1,0,Other,False,False
98.5,3.8,1001 - 5000 ,WA,56,0,0,0,0,0,0,0,0,0,PHD,False,True
61.0,4.8,501 - 1000 ,FL,11,1,0,0,0,0,1,1,0,0,MS,False,True
106.5,4.4,51 - 200 ,IN,13,1,0,0,1,1,0,1,0,0,Other,False,True
84.5,3.9,51 - 200 ,MA,16,1,0,0,1,0,0,1,0,0,Other,False,False
109.5,3.4,1001 - 5000 ,NJ,175,1,1,0,0,0,1,0,0,0,MS,False,False
164.0,3.6,5001 - 10000 ,MA,170,1,0,1,1,1,0,1,0,1,PHD,False,True
169.0,3.9,10000+ ,CA,45,1,0,0,1,0,1,1,0,1,PHD,True,True
142.0,3.8,5001 - 10000 ,CA,25,1,0,1,1,1,1,0,0,0,PHD,True,True
76.5,3.7,10000+ ,MA,240,0,0,0,0,0,1,0,0,0,PHD,False,False
107.0,3.8,501 - 1000 ,MD,40,1,1,0,0,0,1,1,0,0,MS,False,False
171.5,3.5,10000+ ,CA,51,1,0,0,0,1,0,1,0,1,MS,True,False
145.0,3.5,1001 - 5000 ,MA,11,1,0,0,0,0,1,0,0,0,PHD,False,True
61.5,2.9,201 - 500 ,VA,28,1,1,0,0,0,1,1,0,0,MS,False,True
42.0,3.6,5001 - 10000 ,PA,4,0,0,0,0,0,0,0,0,0,Other,False,False
120.0,2.7,51 - 200 ,WI,70,1,1,0,0,0,0,1,0,0,Other,False,False
62.0,4.4,201 - 500 ,MA,8,0,0,0,0,0,0,0,0,0,PHD,False,False
150.5,4.0,5001 - 10000 ,CA,39,1,0,1,1,0,0,1,1,1,PHD,True,True
87.5,4.3,201 - 500 ,MI,54,0,1,0,0,0,1,1,0,0,Other,False,False
71.5,4.2,51 - 200 ,FL,15,1,0,0,1,1,1,1,0,1,Other,False,False
51.5,3.6,51 - 200 ,CA,15,0,0,0,0,0,1,0,0,0,Other,True,False
151.5,3.7,10000+ ,CA,240,0,0,0,0,0,1,0,0,0,MS,True,True
77.5,2.8,201 - 500 ,NJ,7,1,1,0,0,0,1,1,0,0,Other,False,True
140.0,3.7,10000+ ,MA,240,0,0,0,0,0,1,0,0,0,MS,False,True
98.5,3.3,1001 - 5000 ,NJ,39,0,0,0,0,0,1,1,1,0,MS,False,True
56.5,3.6,1001 - 5000 ,DE,86,0,0,0,0,0,0,0,0,0,Other,False,False
161.5,3.7,10000+ ,MA,240,0,0,0,0,0,0,0,0,0,MS,False,True
147.0,3.4,1001 - 5000 ,NY,73,1,0,1,1,1,0,1,0,1,Other,False,True
61.0,4.1,501 - 1000 ,MO,60,0,0,0,0,0,1,1,0,0,MS,False,False
120.0,2.6,501 - 1000 ,PA,37,1,0,0,0,0,0,0,0,0,PHD,False,False
124.5,3.2,1001 - 5000 ,AZ,13,1,0,1,0,0,1,1,0,0,Other,False,False
148.0,3.9,51 - 200 ,CA,12,1,0,0,0,0,0,0,0,0,MS,True,True
59.0,4.7,51 - 200 ,AL,25,1,0,0,0,0,1,0,0,0,Other,False,False
146.5,3.7,5001 - 10000 ,MA,169,1,0,0,0,0,1,1,1,0,MS,False,True
133.0,3.0,501 - 1000 ,IL,6,1,0,1,0,1,0,1,0,0,PHD,False,True
140.5,4.7,51 - 200 ,UT,8,1,0,1,0,1,0,0,0,0,Other,False,True
84.5,3.3,10000+ ,NY,7,0,0,0,0,0,0,0,0,0,PHD,False,True
93.5,4.0,51 - 200 ,MD,19,0,0,0,0,0,1,0,0,0,MS,False,False
134.5,4.4,201 - 500 ,MA,8,0,0,0,0,0,0,0,0,0,PHD,False,True
181.0,3.9,201 - 500 ,CA,14,1,0,1,1,0,0,1,0,0,Other,True,False
84.5,3.3,10000+ ,NY,7,0,0,0,0,0,0,0,0,0,PHD,False,True
205.0,4.1,51 - 200 ,CA,11,1,0,0,1,1,0,1,0,0,Other,True,True
48.5,3.6,1001 - 5000 ,CA,35,0,1,0,0,0,1,1,1,0,MS,True,False
44.5,4.0,1001 - 5000 ,TX,44,0,0,0,0,1,0,0,0,0,Other,False,False
124.0,2.6,501 - 1000 ,PA,37,0,0,0,0,0,0,0,0,0,PHD,False,True
64.0,3.5,501 - 1000 ,CA,25,0,1,0,0,0,0,1,0,0,Other,True,False
98.0,3.0,10000+ ,TN,63,1,0,0,0,0,0,1,0,0,MS,False,True
56.5,3.6,1001 - 5000 ,DE,86,0,0,0,0,0,0,0,0,0,Other,False,False
54.0,3.3,501 - 1000 ,WI,57,0,0,0,0,0,0,0,0,0,Other,False,False
81.0,2.7,201 - 500 ,MD,60,0,0,0,0,0,1,0,0,0,PHD,False,False
107.5,3.4,1001 - 5000 ,IL,16,0,0,0,0,0,0,1,0,0,Other,False,True
89.0,3.7,10000+ ,VA,26,1,1,0,1,0,1,1,0,1,Other,False,False
100.5,4.8,1001 - 5000 ,WI,96,0,0,0,0,0,0,0,1,0,MS,False,True
65.0,3.8,1001 - 5000 ,NY,19,0,1,0,0,0,1,1,0,0,Other,False,False
41.5,3.4,10000+ ,LA,91,0,0,0,0,0,0,0,0,0,MS,False,False
72.5,4.3,201 - 500 ,TX,22,1,1,0,1,1,1,1,0,1,MS,False,False
87.5,3.4,51 - 200 ,IL,29,0,0,0,0,0,0,1,1,0,Other,False,False
92.5,3.1,1001 - 5000 ,CA,24,1,1,0,0,0,1,1,0,1,Other,True,False
81.5,3.2,5001 - 10000 ,VA,63,1,0,0,1,0,0,0,0,1,Other,False,False
79.0,4.3,1001 - 5000 ,OH,40,0,0,0,0,0,0,1,0,0,Other,False,False
69.0,3.4,51 - 200 ,CA,8,1,1,0,0,0,1,1,0,0,Other,True,False
49.0,4.0,201 - 500 ,ID,37,1,1,0,0,0,1,1,0,0,Other,False,False
59.0,3.7,201 - 500 ,NJ,25,0,0,0,0,0,1,0,0,0,MS,False,False
88.5,3.5,201 - 500 ,IN,2,0,0,0,0,1,0,0,0,0,MS,False,False
114.5,4.7,201 - 500 ,NY,29,1,1,0,0,0,1,1,0,0,MS,False,False
88.0,4.4,1001 - 5000 ,TN,15,1,0,0,1,1,1,1,0,1,Other,False,False
100.0,4.1,501 - 1000 ,IL,20,1,0,0,1,1,0,1,0,1,Other,False,False
96.5,2.5,1001 - 5000 ,OR,22,1,0,0,1,0,0,1,0,0,Other,False,False
76.0,4.2,201 - 500 ,MN,29,1,0,0,0,0,1,1,0,0,Other,False,False
15.5,3.9,1001 - 5000 ,NY,55,0,0,0,0,0,1,0,0,0,Other,False,False
83.5,4.3,1 - 50 ,TX,11,1,0,0,0,0,1,1,0,0,Other,False,False
163.0,3.9,10000+ ,CA,45,0,0,0,0,0,1,1,1,0,MS,True,False
100.0,3.4,501 - 1000 ,RI,82,0,0,0,0,1,0,1,1,0,Other,False,True
52.5,3.8,1001 - 5000 ,NE,104,0,0,0,0,0,1,0,0,0,PHD,False,False
50.0,3.3,501 - 1000 ,DC,138,0,1,0,0,0,1,1,0,0,MS,False,False
93.0,3.4,201 - 500 ,TX,15,1,1,0,0,1,0,1,0,1,MS,False,False
94.5,3.0,1001 - 5000 ,OH,134,1,0,0,0,0,0,1,1,0,Other,False,False
102.0,3.7,1001 - 5000 ,NC,17,1,1,1,1,1,1,1,1,1,MS,False,False
108.0,3.9,51 - 200 ,CA,21,1,0,1,1,0,0,1,1,0,MS,True,False
63.5,4.2,501 - 1000 ,ID,17,0,0,0,0,0,1,1,0,0,Other,False,False
96.0,3.5,5001 - 10000 ,TN,171,1,0,1,0,0,0,0,0,0,MS,False,False
