avg_salary_k,rating,size,job_location,age,python,visual_software,ML_software,spark,aws,excel,sql,sas,hadoop,degree,in_CA,senior_status
101.0,3.2,1001 - 5000 ,CA,13,1,1,0,0,1,1,1,0,0,Other,True,False
77.5,3.9,1001 - 5000 ,IA,73,0,0,0,0,0,1,1,0,1,Other,False,False
90.0,3.5,10000+ ,CA,24,1,1,1,0,0,1,1,0,0,Other,True,False
58.0,4.3,501 - 1000 ,NJ,119,0,0,0,0,1,0,1,0,0,Other,False,False
128.0,3.6,1001 - 5000 ,NY,277,1,0,0,0,0,0,0,0,0,Other,False,False
101.0,2.3,201 - 500 ,DC,18,1,1,0,0,0,1,1,0,0,MS,False,False
142.0,4.0,501 - 1000 ,VA,9,1,0,0,0,1,0,1,0,0,Other,False,True
169.0,4.1,1 - 50 ,CA,14,0,1,0,0,1,1,1,1,0,MS,True,True
52.5,4.2,51 - 200 ,CA,34,1,0,0,0,0,0,1,0,0,Other,True,False
75.5,4.6,501 - 1000 ,TX,39,0,1,0,1,0,0,1,0,1,Other,False,False
139.0,3.7,10000+ ,NY,158,1,0,0,0,0,1,1,0,0,MS,False,True
102.5,3.7,10000+ ,MA,240,1,1,0,1,1,1,1,0,1,Other,False,False
60.5,4.4,201 - 500 ,SC,92,0,0,0,0,0,0,0,0,0,Other,False,False
125.0,3.9,10000+ ,CA,45,0,0,0,0,0,1,0,0,0,PHD,True,False
81.0,3.6,5001 - 10000 ,MA,170,1,1,0,0,0,0,1,0,0,Other,False,True
77.0,3.4,10000+ ,DC,25,0,1,0,0,0,1,1,0,0,MS,False,False
92.0,4.1,5001 - 10000 ,VA,53,0,0,0,0,0,0,1,0,1,Other,False,False
121.0,3.8,10000+ ,MA,25,0,0,0,0,0,0,0,0,0,Other,False,True
162.5,4.0,5001 - 10000 ,CA,39,1,0,0,1,0,1,1,0,0,Other,True,True
60.0,3.9,1001 - 5000 ,TX,74,0,0,0,0,0,0,0,0,0,Other,False,False
90.5,4.4,1 - 50 ,IN,6,1,0,0,1,0,0,0,0,1,Other,False,False
110.0,2.2,501 - 1000 ,TX,28,0,1,0,0,0,0,0,0,0,MS,False,True
70.5,4.1,5001 - 10000 ,VA,53,0,0,0,0,0,0,0,0,0,Other,False,False
76.5,3.8,1001 - 5000 ,WA,56,1,0,0,0,0,0,0,0,0,PHD,False,False
92.0,3.6,5001 - 10000 ,MA,170,1,0,0,1,0,1,0,0,0,Other,False,False
82.0,3.5,1001 - 5000 ,VA,52,1,0,0,0,0,0,1,0,0,MS,False,False
164.5,3.3,201 - 500 ,CA,13,0,0,0,0,0,0,0,0,0,Other,True,False
44.0,3.4,201 - 500 ,FL,30,0,0,0,0,0,0,0,0,0,MS,False,False
109.0,4.4,1 - 50 ,VA,6,1,0,0,1,0,0,0,0,1,Other,False,False
149.5,3.8,501 - 1000 ,TX,11,0,0,0,1,1,0,0,0,0,MS,False,False
65.5,3.5,1001 - 5000 ,DC,14,0,0,0,1,1,1,1,0,0,MS,False,False
124.5,3.5,1001 - 5000 ,NC,4,1,0,0,1,0,1,0,0,0,MS,False,True
114.0,2.9,51 - 200 ,CA,23,1,1,0,1,0,0,1,0,0,MS,True,False
49.0,3.9,501 - 1000 ,PA,84,1,1,0,0,0,0,1,0,0,Other,False,False
71.0,3.7,501 - 1000 ,VA,32,0,1,0,0,0,1,1,0,0,Other,False,False
101.0,3.6,5001 - 10000 ,MA,170,0,0,0,0,0,0,0,0,0,Other,False,False
61.0,3.7,10000+ ,IL,93,1,0,0,1,0,0,1,0,1,MS,False,False
103.5,3.1,5001 - 10000 ,KY,146,0,0,0,0,0,0,0,0,0,Other,False,False
63.0,3.6,5001 - 10000 ,MA,170,0,0,0,0,0,1,0,0,0,MS,False,False
62.5,3.0,10000+ ,CT,40,0,0,0,0,0,1,0,0,0,Other,False,False
94.5,3.5,501 - 1000 ,CA,8,1,0,0,1,1,1,1,0,1,MS,True,False
154.5,3.5,1001 - 5000 ,MA,11,1,0,0,0,0,1,0,0,0,PHD,False,True
87.0,3.7,501 - 1000 ,KS,48,1,0,0,0,0,1,1,0,1,Other,False,False
64.5,3.2,501 - 1000 ,NY,18,1,0,0,0,1,1,1,0,0,Other,False,False
154.5,3.7,10000+ ,MA,240,0,0,0,1,1,1,1,0,1,MS,False,False
128.5,4.4,201 - 500 ,IL,13,1,1,0,0,1,1,1,0,1,Other,False,True
65.0,3.7,501 - 1000 ,CO,55,0,0,0,0,0,0,0,0,0,Other,False,False
137.0,3.9,10000+ ,NY,108,1,0,0,0,0,0,0,0,0,PHD,False,True
99.0,4.0,501 - 1000 ,CO,106,1,0,0,0,1,0,1,0,0,MS,False,False
139.5,4.4,1001 - 5000 ,MA,37,1,1,0,0,0,0,1,0,0,MS,False,True
109.0,3.4,201 - 500 ,MD,22,0,0,0,0,1,0,0,0,0,MS,False,False
254.0,3.3,10000+ ,IL,109,1,0,0,0,0,0,0,1,0,MS,False,False
73.0,2.9,201 - 500 ,CA,9,0,0,0,0,0,0,0,0,0,PHD,True,False
99.5,3.1,5001 - 10000 ,NC,146,0,0,0,0,0,1,0,0,0,Other,False,False
45.5,3.3,501 - 1000 ,OH,32,0,0,0,0,0,0,0,0,0,Other,False,False
122.5,4.5,51 - 200 ,IN,25,1,0,0,1,1,0,1,0,1,Other,False,True
140.0,3.9,5001 - 10000 ,IL,53,1,0,0,0,0,1,1,1,0,Other,False,True
77.5,3.2,5001 - 10000 ,VA,63,0,0,0,0,0,0,0,0,0,PHD,False,True
55.0,3.3,1 - 50 ,MA,45,0,0,0,0,0,1,0,0,0,Other,False,False
117.5,3.1,5001 - 10000 ,NC,146,0,0,0,0,0,1,0,0,0,MS,False,True
70.5,2.4,501 - 1000 ,CA,15,0,0,0,0,0,0,0,0,0,MS,True,False
61.5,4.8,51 - 200 ,CA,10,0,1,0,0,0,1,1,0,0,Other,True,False
70.0,2.9,1001 - 5000 ,NY,6,0,0,0,0,0,1,0,0,0,Other,False,False
80.0,2.9,1001 - 5000 ,GA,6,0,0,0,0,0,1,0,0,0,Other,False,True
90.0,3.4,1001 - 5000 ,MA,33,0,0,0,1,0,1,1,0,1,Other,False,False
73.5,2.6,501 - 1000 ,PA,37,0,0,0,0,0,1,0,0,0,PHD,False,False
129.5,3.6,5001 - 10000 ,MA,170,1,1,0,1,1,1,1,0,1,Other,False,False
167.5,4.0,10000+ ,NY,172,0,0,0,0,1,1,0,0,0,MS,False,True
60.0,3.8,1001 - 5000 ,WI,151,0,0,0,0,1,1,0,0,0,Other,False,False
180.0,3.9,51 - 200 ,CA,12,1,0,0,0,0,1,1,0,0,MS,True,True
65.0,3.8,1001 - 5000 ,NY,19,0,0,0,0,0,1,1,1,0,Other,False,False
112.5,4.3,5001 - 10000 ,NC,31,1,0,0,1,1,0,0,0,1,Other,False,True
87.5,1.9,201 - 500 ,NY,11,1,0,0,0,0,1,1,0,0,Other,False,True
51.5,3.3,10000+ ,IN,109,1,1,0,0,0,1,1,0,0,MS,False,False
51.0,4.7,51 - 200 ,CA,49,0,0,0,0,0,1,0,0,0,Other,True,False
62.5,3.1,10000+ ,MA,165,1,0,0,0,0,1,1,1,0,MS,False,False
100.0,3.4,501 - 1000 ,AZ,40,0,0,0,0,0,0,1,0,1,Other,False,True
85.0,4.4,51 - 200 ,VA,17,1,0,0,1,1,0,0,0,1,Other,False,False
122.0,3.9,201 - 500 ,FL,9,1,0,0,0,1,0,0,0,0,MS,False,True
66.5,3.9,501 - 1000 ,IL,26,1,1,0,0,0,0,1,1,0,MS,False,False
70.5,4.7,1001 - 5000 ,MO,19,0,1,0,1,0,1,1,0,1,Other,False,False
138.5,4.7,51 - 200 ,TX,11,1,0,1,1,0,0,1,0,0,Other,False,True
107.5,3.4,1001 - 5000 ,MA,78,0,1,0,1,0,1,1,0,1,Other,False,False
120.5,3.8,501 - 1000 ,MA,13,0,0,0,0,0,0,0,1,0,MS,False,False
81.0,2.7,201 - 500 ,MD,60,0,0,0,0,0,0,0,0,0,Other,False,False
103.5,3.1,5001 - 10000 ,KY,146,0,0,0,0,0,0,0,0,0,Other,False,False
162.0,4.0,1001 - 5000 ,CA,14,1,0,0,1,1,1,0,0,1,Other,True,True
68.5,3.5,1001 - 5000 ,CA,52,1,0,1,1,0,1,0,0,0,MS,True,False
110.5,3.4,10000+ ,OH,43,0,0,1,0,0,1,1,0,0,Other,False,True
80.5,3.8,1001 - 5000 ,WA,56,0,0,1,0,0,0,0,0,0,MS,False,True
43.0,4.6,501 - 1000 ,IA,29,0,1,0,0,0,1,1,0,0,Other,False,False
140.0,4.4,201 - 500 ,MA,18,0,0,0,0,0,1,0,0,0,PHD,False,False
66.5,3.0,5001 - 10000 ,PA,38,0,1,0,0,0,1,1,1,0,MS,False,True
94.5,4.7,51 - 200 ,CA,15,1,0,0,0,1,0,0,0,0,Other,True,True
119.0,3.8,1001 - 5000 ,WA,56,0,0,1,0,0,0,0,0,0,MS,False,True
51.5,3.2,10000+ ,NE,25,0,0,0,0,0,0,0,0,0,Other,False,False
27.5,2.7,5001 - 10000 ,TN,21,0,1,0,0,0,1,0,0,0,Other,False,True
194.5,3.3,10000+ ,IL,109,1,0,0,0,0,0,0,1,0,PHD,False,False
71.5,3.9,1001 - 5000 ,TX,74,1,0,0,0,1,1,1,0,0,Other,False,True
74.0,3.1,5001 - 10000 ,NC,146,0,0,0,0,0,1,0,0,0,MS,False,True
62.5,3.7,10000+ ,AL,99,0,0,0,0,0,1,0,0,0,Other,False,False
65.5,4.3,1001 - 5000 ,NC,63,0,0,0,0,0,0,0,0,0,PHD,False,True
161.5,3.6,1001 - 5000 ,NJ,32,1,1,0,0,1,1,1,0,0,Other,False,False
72.5,2.1,1001 - 5000 ,PA,18,0,1,0,0,0,1,1,0,0,Other,False,True
139.0,3.9,51 - 200 ,CA,13,1,0,0,0,1,1,0,0,0,Other,True,True
136.5,3.9,201 - 500 ,CA,14,0,0,0,0,0,0,1,0,0,Other,True,True
74.5,3.8,1001 - 5000 ,NY,19,1,0,0,1,0,0,0,0,0,Other,False,False
80.5,3.1,5001 - 10000 ,NC,146,0,0,0,0,0,1,0,0,0,MS,False,True
101.0,5.0,51 - 200 ,VA,7,1,0,0,0,0,0,1,1,0,Other,False,False
116.5,3.6,10000+ ,NJ,209,0,0,0,0,0,1,1,0,0,Other,False,False
232.5,4.7,501 - 1000 ,CA,22,1,0,1,0,0,0,1,0,0,PHD,True,True
120.5,3.5,51 - 200 ,CA,5,1,0,0,0,0,0,1,0,0,PHD,True,False
153.0,2.7,10000+ ,CA,14,1,0,1,1,1,0,1,0,0,PHD,True,False
127.0,3.4,501 - 1000 ,CA,13,1,0,0,1,0,0,1,0,1,MS,True,False
85.5,4.7,51 - 200 ,CA,11,1,0,1,1,0,1,1,0,1,PHD,True,False
76.5,2.8,1001 - 5000 ,NY,45,1,1,0,0,0,1,1,1,0,Other,False,False
128.0,3.5,1001 - 5000 ,NY,29,1,1,1,1,0,0,1,0,1,Other,False,False
177.0,3.7,1001 - 5000 ,CA,33,1,0,0,1,1,0,1,0,1,PHD,True,False
107.0,4.7,201 - 500 ,VA,11,1,0,1,1,0,1,1,0,1,PHD,False,False
154.5,4.1,501 - 1000 ,CA,9,1,0,1,1,0,1,0,0,0,PHD,True,False
101.5,3.4,10000+ ,VA,52,1,0,1,0,1,0,0,0,0,MS,False,False
73.0,3.6,10000+ ,NY,86,0,1,0,0,1,1,1,0,0,Other,False,False
80.5,3.5,10000+ ,NY,5,1,0,0,0,1,0,1,0,0,MS,False,False
145.5,4.8,1 - 50 ,NY,10,1,1,0,0,0,1,1,0,0,Other,False,False
87.0,4.0,201 - 500 ,NY,14,0,0,0,0,0,1,0,0,0,Other,False,False
100.5,4.2,201 - 500 ,MA,136,0,0,0,0,0,1,1,0,0,MS,False,False
147.0,3.8,10000+ ,NY,54,1,0,1,1,0,1,1,1,1,MS,False,False
110.5,3.7,201 - 500 ,NY,107,1,0,0,0,0,1,1,0,0,MS,False,False
123.5,4.3,1001 - 5000 ,NY,22,1,0,0,0,1,0,1,0,0,MS,False,True
73.0,4.0,10000+ ,OR,82,0,0,0,0,0,0,1,0,0,MS,False,False
165.0,3.9,201 - 500 ,NY,7,1,0,1,0,0,0,0,0,1,MS,False,True
59.5,3.1,1001 - 5000 ,NY,15,1,0,0,0,0,1,1,0,0,Other,False,False
66.0,3.6,1 - 50 ,NY,41,0,0,0,0,0,1,0,0,0,Other,False,False
75.5,4.2,51 - 200 ,NY,9,1,1,0,0,1,0,1,0,1,Other,False,False
87.0,4.0,501 - 1000 ,VA,67,1,0,0,0,0,0,0,0,0,Other,False,False
140.0,3.9,10000+ ,MD,108,1,0,0,0,0,1,0,0,0,PHD,False,True
86.0,3.7,201 - 500 ,MD,15,1,0,0,0,0,1,0,1,0,MS,False,False
116.5,4.4,1 - 50 ,CA,9,1,0,0,0,0,0,1,0,0,MS,True,True
80.0,3.4,501 - 1000 ,TX,19,1,0,0,1,0,1,1,0,1,Other,False,False
173.0,3.7,10000+ ,CA,82,1,0,0,0,0,0,0,0,0,MS,True,True
68.5,3.5,501 - 1000 ,AZ,24,1,0,0,1,0,0,0,0,0,Other,False,False
172.0,4.4,1001 - 5000 ,NY,20,0,0,0,0,0,0,0,0,0,PHD,False,False
95.0,3.9,10000+ ,MD,108,0,0,0,0,0,0,0,0,0,PHD,False,True
69.5,3.2,5001 - 10000 ,MA,63,1,1,0,0,0,1,1,1,0,Other,False,False
97.5,4.0,501 - 1000 ,NY,14,1,0,0,0,0,1,1,0,0,Other,False,False
95.0,3.4,201 - 500 ,NY,10,1,1,0,1,1,0,1,0,0,Other,False,False
194.0,3.2,501 - 1000 ,CA,15,0,0,0,0,1,1,0,0,0,Other,True,True
104.5,3.5,201 - 500 ,NY,16,1,0,0,1,1,1,1,0,0,MS,False,False
85.5,4.2,201 - 500 ,NC,13,1,0,0,0,0,1,1,0,1,Other,False,False
113.0,3.1,1001 - 5000 ,CA,24,1,0,0,1,1,1,1,0,0,Other,True,False
90.5,3.9,10000+ ,MA,191,0,0,0,0,1,0,0,0,0,MS,False,False
153.0,4.3,51 - 200 ,CA,13,1,0,0,1,0,1,0,0,0,Other,True,True
123.5,3.3,1001 - 5000 ,CA,33,0,1,0,0,0,1,1,1,0,MS,True,False
47.0,3.9,201 - 500 ,NY,11,0,0,0,1,0,0,1,0,0,Other,False,True
162.0,4.0,10000+ ,CA,39,1,1,0,0,0,1,1,0,1,MS,True,False
133.5,3.5,5001 - 10000 ,CO,151,1,0,0,0,0,1,0,0,0,MS,False,True
109.0,3.2,1001 - 5000 ,TN,17,0,0,0,0,1,1,0,0,1,Other,False,True
125.0,3.2,1001 - 5000 ,NY,46,1,0,1,0,1,1,1,0,0,MS,False,False
106.5,3.8,10000+ ,MA,25,1,1,0,0,0,0,1,1,0,MS,False,True
54.0,3.7,5001 - 10000 ,MA,169,0,0,0,0,0,0,1,0,0,Other,False,False
37.5,3.0,1001 - 5000 ,FL,44,0,0,0,0,0,1,1,0,0,MS,False,False
53.5,3.8,1001 - 5000 ,NY,19,1,1,0,0,0,1,1,0,0,MS,False,False
168.0,4.7,501 - 1000 ,CA,7,1,1,0,0,0,1,1,0,0,Other,True,False
138.5,3.9,51 - 200 ,CA,13,1,1,0,0,0,0,1,0,0,Other,True,True
111.5,3.6,10000+ ,PA,4,0,0,0,0,0,0,0,0,0,MS,False,True
68.5,3.6,5001 - 10000 ,MA,170,0,0,0,0,0,1,0,0,0,MS,False,False
84.5,3.9,10000+ ,MA,191,0,0,0,0,1,0,0,0,0,MS,False,True
102.5,4.4,1001 - 5000 ,TN,15,1,0,0,1,1,0,1,0,1,Other,False,True
93.5,3.6,501 - 1000 ,OH,54,1,0,0,0,0,0,0,0,0,MS,False,False
47.0,3.1,1001 - 5000 ,UT,44,1,1,0,0,0,1,1,0,0,Other,False,False
65.0,3.8,501 - 1000 ,AL,7,1,0,0,1,1,1,1,0,0,Other,False,False
94.0,4.0,501 - 1000 ,VA,9,1,0,0,0,0,0,1,0,0,Other,False,True
97.0,4.0,501 - 1000 ,VA,9,1,0,0,1,1,0,1,0,1,Other,False,True
91.5,3.6,5001 - 10000 ,MA,170,0,0,0,1,1,1,1,0,1,Other,False,False
114.5,3.8,10000+ ,MA,25,0,0,0,0,0,0,0,0,0,Other,False,False
121.0,3.8,10000+ ,MA,25,0,0,0,0,0,0,0,0,0,Other,False,True
121.5,4.5,201 - 500 ,CA,15,0,1,0,0,0,0,1,0,0,Other,True,True
60.5,3.4,501 - 1000 ,AZ,19,1,0,0,1,1,0,1,0,0,Other,False,False
118.5,3.3,1001 - 5000 ,VA,4,1,0,0,1,0,0,1,0,1,Other,False,False
58.5,3.8,1001 - 5000 ,IL,96,1,0,0,1,0,1,1,0,1,MS,False,False
63.5,3.9,201 - 500 ,CA,14,1,0,1,1,0,0,1,0,0,Other,True,False
107.0,4.1,5001 - 10000 ,CA,40,1,0,1,0,0,1,0,0,0,Other,True,False
83.0,2.8,501 - 1000 ,CA,49,0,1,0,0,0,0,1,0,0,Other,True,False
87.5,3.0,501 - 1000 ,CA,27,0,0,0,0,0,1,0,0,0,MS,True,False
172.0,4.0,10000+ ,MA,172,0,0,0,0,1,0,0,0,0,PHD,False,False
100.0,3.0,501 - 1000 ,CA,27,0,0,0,0,0,1,0,0,0,PHD,True,True
221.5,4.2,501 - 1000 ,CA,10,1,0,0,0,0,1,1,0,0,Other,True,False
95.5,3.5,201 - 500 ,IL,26,1,0,0,0,0,0,1,0,0,MS,False,False
173.0,3.3,1001 - 5000 ,NJ,48,1,0,0,0,0,1,1,0,0,Other,False,True
147.5,3.9,10000+ ,MD,108,1,0,0,0,0,1,0,0,0,PHD,False,True
81.0,3.7,10000+ ,VA,122,0,0,0,0,0,1,0,0,0,MS,False,False
83.0,3.2,201 - 500 ,NY,13,1,0,0,1,0,1,1,0,0,Other,False,True
121.0,4.6,51 - 200 ,MA,30,0,0,1,0,1,1,0,0,0,PHD,False,True
85.5,2.2,501 - 1000 ,CA,19,0,0,0,0,0,1,0,0,0,Other,True,False
167.5,4.6,51 - 200 ,MA,30,0,0,0,0,0,0,0,0,0,PHD,False,True
107.5,2.6,501 - 1000 ,PA,37,1,0,1,0,0,0,1,0,0,PHD,False,False
44.5,3.4,501 - 1000 ,WA,42,0,0,0,0,1,1,1,0,0,Other,False,False
107.5,3.3,1001 - 5000 ,MD,132,0,0,0,0,0,0,1,0,0,MS,False,True
69.5,3.7,201 - 500 ,PA,27,0,1,0,0,0,1,1,0,0,Other,False,True
98.5,3.5,10000+ ,CA,51,1,0,0,1,1,0,1,0,1,Other,True,True
80.5,2.7,201 - 500 ,MD,60,0,0,0,0,0,1,0,0,0,Other,False,False
76.5,3.8,51 - 200 ,MA,13,0,0,0,0,0,1,0,0,0,Other,False,False
99.0,3.7,10000+ ,MD,99,1,0,0,0,0,0,1,0,0,Other,False,False
96.5,3.8,501 - 1000 ,MA,13,0,0,0,0,0,1,0,0,0,Other,False,False
53.0,3.3,10000+ ,MA,109,0,0,0,0,0,0,0,0,0,MS,False,False
103.0,2.7,1 - 50 ,CA,10,0,0,0,1,1,0,0,0,1,Other,True,True
92.0,3.9,10000+ ,MD,108,0,0,0,0,0,0,0,0,0,Other,False,False
114.0,3.6,1001 - 5000 ,NJ,32,1,1,0,0,1,1,1,0,1,Other,False,False
96.5,3.4,51 - 200 ,DC,24,1,0,1,0,0,0,0,0,0,MS,False,False
69.5,4.3,201 - 500 ,AZ,52,1,0,1,0,0,1,1,1,0,Other,False,False
121.0,2.6,10000+ ,CA,24,1,1,0,0,0,0,1,1,0,MS,True,False
103.0,3.8,201 - 500 ,CA,16,1,1,0,0,1,0,1,0,0,MS,True,False
106.5,3.2,5001 - 10000 ,VA,63,1,1,0,1,0,1,1,1,1,Other,False,False
130.0,5.0,51 - 200 ,MI,10,0,0,0,0,0,1,0,0,0,MS,False,True
86.5,4.3,1001 - 5000 ,NY,22,0,0,0,0,1,1,1,0,0,MS,False,False
92.0,4.0,501 - 1000 ,CA,15,0,0,0,0,1,1,0,0,0,MS,True,True
111.0,4.1,1 - 50 ,CA,14,1,0,1,0,1,1,0,0,0,Other,True,False
87.5,3.9,201 - 500 ,CA,10,1,0,0,0,1,1,1,0,0,PHD,True,False
