,Rating,Size,Avg Salary(K),Job Location,Age,Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,seniority_by_title,Degree
0,3.8,501 - 1000 ,72.0,NM,48,1,0,0,1,0,1,0,0,0,0,0,1,1,na,M
1,3.4,10000+ ,87.5,MD,37,1,0,0,0,0,0,0,0,0,0,0,0,0,na,M
2,4.8,501 - 1000 ,85.0,FL,11,1,1,0,1,1,1,0,0,0,0,0,0,0,na,M
3,3.8,1001 - 5000 ,76.5,WA,56,1,0,0,0,0,0,0,0,0,0,0,0,0,na,na
4,2.9,51 - 200 ,114.5,NY,23,1,0,0,1,1,1,0,0,0,0,0,0,0,na,na
5,3.4,201 - 500 ,95.0,TX,21,1,0,1,1,1,0,0,0,0,0,0,0,1,na,na
6,4.1,501 - 1000 ,73.5,MD,13,0,0,0,1,0,0,0,0,0,0,0,0,0,na,na
7,3.8,201 - 500 ,114.0,CA,16,1,1,1,1,1,0,0,1,0,1,0,0,0,na,M
8,3.3,10000+ ,61.0,NY,7,0,0,0,0,0,0,0,0,0,0,0,0,0,na,P
9,4.6,51 - 200 ,140.0,NY,12,1,1,0,0,0,0,0,0,0,0,0,0,0,na,na
10,3.5,501 - 1000 ,163.5,CA,10,1,0,0,0,0,0,0,0,0,0,0,0,0,na,na
11,4.1,5001 - 10000 ,85.0,VA,53,0,0,0,0,1,0,0,0,0,0,1,0,0,na,na
12,3.2,10000+ ,139.0,TX,59,0,0,0,0,1,0,0,0,0,0,1,0,0,na,M
13,4.1,201 - 500 ,65.5,WA,9,1,1,1,1,1,0,0,0,0,0,0,1,1,na,na
14,3.7,10000+ ,113.5,MA,240,1,1,0,0,1,0,0,0,0,1,0,0,0,na,M
15,3.6,1001 - 5000 ,146.0,NJ,26,0,0,0,1,0,0,0,0,0,0,0,0,0,na,na
16,3.9,51 - 200 ,102.0,MA,10,0,0,0,1,0,0,0,0,0,0,0,0,0,na,P
17,4.3,201 - 500 ,153.5,CA,10,1,1,1,1,0,0,0,0,0,0,1,0,0,na,M
18,4.2,51 - 200 ,142.5,CA,11,0,0,0,0,1,0,0,0,0,0,0,0,0,na,na
19,4.0,501 - 1000 ,87.5,CO,106,1,0,0,1,1,0,1,1,1,1,0,0,0,na,M
20,3.2,201 - 500 ,105.5,WA,9,1,1,0,0,1,0,0,0,0,0,0,0,0,na,M
21,3.9,201 - 500 ,96.0,TX,8,0,0,0,1,0,0,0,0,0,0,0,0,0,sr,P
22,3.8,501 - 1000 ,112.5,IL,26,1,0,1,1,1,0,0,0,0,0,0,0,0,na,M
23,4.3,51 - 200 ,84.0,KY,86,1,0,0,1,1,0,0,0,0,0,0,1,0,na,M
24,4.0,501 - 1000 ,143.0,VA,9,1,0,1,0,0,0,1,0,0,1,0,0,0,na,na
25,4.0,10000+ ,86.5,MA,172,1,0,1,1,0,0,0,0,0,0,0,0,0,na,na
26,3.5,1001 - 5000 ,99.5,OR,69,1,1,1,1,1,0,1,0,1,1,0,1,0,na,na
27,3.7,5001 - 10000 ,47.5,MA,169,0,0,0,1,0,0,0,0,0,0,0,0,0,na,na
28,4.0,10000+ ,84.0,CT,172,0,0,1,1,0,0,0,0,0,0,0,0,0,na,M
31,3.6,1001 - 5000 ,96.0,MI,24,1,0,0,0,1,1,0,0,0,0,0,0,0,na,M
32,3.8,10000+ ,114.5,MA,25,1,0,0,0,0,0,0,1,1,0,0,0,0,na,na
33,3.8,5001 - 10000 ,121.0,CA,25,1,1,0,1,1,0,1,0,1,1,0,0,0,na,M
34,4.7,201 - 500 ,112.5,MA,47,1,0,0,1,0,0,0,0,0,0,0,0,0,na,na
35,4.2,201 - 500 ,106.0,CA,13,1,0,0,1,1,0,0,0,0,0,0,1,1,na,na
36,3.5,1001 - 5000 ,107.0,CA,52,1,1,1,0,0,0,0,0,0,0,1,1,0,na,M
37,4.7,201 - 500 ,110.0,MA,11,1,1,0,1,1,0,0,1,1,1,1,0,0,na,P
38,3.5,5001 - 10000 ,147.5,CA,151,1,0,0,1,0,0,0,0,0,0,0,0,0,sr,M
39,3.5,201 - 500 ,106.0,NY,36,1,0,0,1,1,0,0,0,0,0,0,0,0,na,M
40,4.2,201 - 500 ,88.0,CA,13,1,0,1,1,1,0,0,0,0,0,0,1,0,na,na
41,3.6,1 - 50 ,98.5,MA,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,na,na
42,4.2,51 - 200 ,142.5,CA,11,0,0,0,0,0,0,0,0,0,0,0,0,0,na,M
43,3.4,5001 - 10000 ,82.5,NJ,6,0,0,1,0,0,0,0,0,0,0,0,0,0,na,M
44,4.3,1001 - 5000 ,130.0,IL,28,1,1,0,1,1,0,0,0,1,0,1,1,1,sr,M
45,5.0,unknown,155.0,DC,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,na,na
46,3.7,10000+ ,184.5,WA,63,1,0,0,1,1,1,0,0,0,0,0,1,0,sr,na
47,3.1,5001 - 10000 ,29.5,CO,35,0,0,0,1,0,0,0,0,0,0,0,0,0,na,M
48,4.7,501 - 1000 ,86.5,OH,22,0,0,0,0,0,0,0,0,0,0,0,0,0,na,M
49,3.7,10000+ ,81.0,IL,96,0,0,0,0,0,0,0,0,0,0,0,1,0,na,na
50,3.8,501 - 1000 ,91.0,FL,37,1,0,0,1,1,0,0,0,0,0,1,1,0,na,na
51,3.3,10000+ ,114.5,MA,109,1,0,0,0,0,0,0,0,0,0,0,0,0,na,na
52,4.6,1001 - 5000 ,68.0,AL,19,1,0,0,1,0,0,0,0,0,0,0,1,0,na,na
53,3.7,10000+ ,115.0,NY,158,1,0,0,1,1,0,0,0,0,0,0,0,0,na,M
54,3.7,10000+ ,109.5,CA,82,0,0,0,1,1,0,0,0,0,0,0,1,0,na,na
55,3.5,5001 - 10000 ,75.5,NM,151,1,0,0,1,0,0,0,0,0,0,0,0,0,na,M
56,4.1,501 - 1000 ,154.5,CA,9,1,1,0,1,0,0,0,0,0,1,0,0,0,na,P
57,4.7,51 - 200 ,143.5,MO,5,1,1,0,0,1,0,1,0,1,1,0,0,0,na,na
60,4.4,201 - 500 ,107.0,OH,136,1,0,1,0,1,0,0,0,0,0,0,1,1,sr,M
61,4.3,201 - 500 ,115.0,NY,10,1,1,1,0,1,0,0,0,0,0,1,1,0,na,na
62,3.8,501 - 1000 ,139.5,CA,15,0,0,0,0,1,1,0,0,0,0,0,0,0,sr,M
63,3.8,1001 - 5000 ,67.0,WA,56,0,0,0,0,0,0,0,1,0,1,0,0,0,na,M
64,3.8,10000+ ,85.0,PA,73,1,0,0,0,1,0,0,1,0,1,0,0,0,na,M
65,2.8,51 - 200 ,118.0,MA,15,1,0,0,1,1,0,0,0,0,0,0,0,0,na,P
66,4.7,51 - 200 ,79.5,GA,18,1,0,0,1,1,0,1,1,1,0,0,0,0,na,na
67,3.1,201 - 500 ,56.5,MA,22,1,0,0,0,1,0,0,0,0,0,0,1,0,na,na
68,3.2,1 - 50 ,128.5,PA,-1,1,1,1,0,1,0,0,0,0,0,1,0,0,na,na
69,4.0,10000+ ,97.5,WA,82,0,0,0,0,0,0,0,0,0,0,0,0,0,na,M
70,4.4,1 - 50 ,66.5,IN,6,1,0,0,0,0,0,0,0,0,0,0,1,0,na,na
71,3.6,10000+ ,179.5,IL,94,1,0,0,1,1,1,0,0,0,0,0,0,0,na,M
72,2.7,501 - 1000 ,76.0,MO,43,0,0,0,1,0,0,0,0,0,0,0,0,0,na,P
73,3.9,501 - 1000 ,112.0,VA,11,1,1,0,0,1,0,0,0,0,0,1,0,0,sr,M
74,3.1,1001 - 5000 ,98.0,PA,161,1,0,0,0,0,0,0,0,0,1,0,0,0,na,M
75,4.0,10000+ ,128.0,WA,82,0,1,1,0,1,0,0,0,1,1,0,0,0,sr,M
76,4.3,201 - 500 ,150.5,CA,10,1,1,1,1,0,0,1,0,1,1,1,0,0,na,P
77,1.9,51 - 200 ,87.5,MA,21,0,0,1,0,0,0,0,0,0,0,0,0,0,na,M
78,3.3,1001 - 5000 ,110.0,VA,4,1,0,0,1,0,0,0,0,1,0,1,0,0,na,na
79,4.4,10000+ ,113.5,CA,26,1,0,0,1,0,0,0,0,0,0,0,0,0,na,na
80,3.9,51 - 200 ,124.0,CA,5,1,0,0,0,1,0,0,0,0,0,0,0,0,na,na
81,4.7,201 - 500 ,56.5,PA,24,0,0,0,1,0,0,0,0,0,0,0,0,0,jr,na
82,4.5,5001 - 10000 ,130.0,MD,79,1,0,0,1,0,0,0,0,0,0,0,0,0,na,na
83,4.3,51 - 200 ,77.5,IL,13,0,0,0,1,1,0,0,0,0,0,0,0,0,na,na
84,4.0,201 - 500 ,87.0,VA,19,1,0,1,1,1,0,0,0,0,0,0,0,0,na,na
85,4.4,501 - 1000 ,53.5,WA,73,0,0,0,1,0,0,0,0,0,0,0,0,0,na,na
88,4.2,501 - 1000 ,85.5,FL,13,1,1,0,1,1,0,0,0,0,0,1,0,0,na,na
89,4.5,51 - 200 ,48.0,AL,25,0,0,0,1,1,0,0,0,0,0,1,0,0,na,na
90,3.5,51 - 200 ,48.0,LA,22,0,0,0,1,1,0,0,0,0,0,0,0,0,na,na
91,3.5,201 - 500 ,174.0,CA,31,0,0,0,1,0,0,0,0,0,0,0,0,0,sr,M
92,3.9,5001 - 10000 ,85.0,GA,53,1,1,0,0,1,1,0,0,0,0,0,0,0,na,na
93,4.7,51 - 200 ,106.5,MD,18,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na
94,4.2,1001 - 5000 ,72.5,MD,33,0,0,0,1,0,0,0,0,0,0,0,0,0,na,na
95,3.4,10000+ ,85.5,MD,25,0,0,0,0,0,0,0,0,0,0,0,0,0,na,M
96,3.2,5001 - 10000 ,97.5,VA,63,1,0,0,1,1,1,0,0,0,0,0,1,1,na,na
97,3.9,501 - 1000 ,99.0,VA,11,1,0,0,1,0,0,0,0,0,0,0,1,0,na,na
98,3.1,1001 - 5000 ,56.5,WI,20,0,0,0,1,1,0,0,0,0,0,0,0,0,na,na
99,4.1,1 - 50 ,133.0,MD,14,1,0,0,0,0,0,0,0,0,0,0,0,0,sr,na
100,3.8,51 - 200 ,121.0,NY,9,1,1,0,0,0,0,1,1,1,1,0,0,0,na,na
101,4.7,501 - 1000 ,85.5,NY,29,1,0,0,0,1,0,0,0,0,0,0,0,0,na,M
102,4.3,1001 - 5000 ,87.5,TX,6,1,0,0,0,1,0,0,0,0,1,0,0,0,na,na
103,4.2,1001 - 5000 ,237.5,DC,86,1,0,0,1,0,0,0,0,0,0,0,0,0,sr,M
104,3.9,1001 - 5000 ,95.5,NC,24,1,1,0,0,1,0,0,0,0,0,0,1,0,na,M
105,3.3,10000+ ,104.5,MI,27,1,1,1,1,1,0,0,0,0,0,0,0,1,sr,M
106,4.7,201 - 500 ,56.5,NJ,9,0,0,0,1,1,0,0,0,0,0,0,1,0,na,na
107,4.3,201 - 500 ,55.0,AZ,11,0,0,0,1,1,0,0,0,0,0,0,0,1,sr,na
108,2.9,1001 - 5000 ,61.5,NE,44,0,0,0,1,0,0,0,0,0,0,0,0,0,na,P
109,4.5,201 - 500 ,157.0,CA,15,0,1,1,0,0,0,0,0,0,0,0,0,0,na,na
110,3.4,201 - 500 ,78.0,NJ,2,1,0,0,0,1,0,0,0,0,0,0,0,0,na,na
113,3.2,51 - 200 ,132.5,CA,6,0,1,0,1,0,0,0,0,0,1,0,0,0,na,M
114,4.0,5001 - 10000 ,108.0,CA,39,1,1,0,0,1,0,0,0,0,0,1,0,0,na,M
115,4.6,501 - 1000 ,80.5,IN,84,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na
116,2.8,201 - 500 ,107.5,MD,21,1,0,0,0,0,0,0,0,0,0,0,0,0,na,M
117,4.7,51 - 200 ,95.0,MN,25,0,1,1,0,1,0,0,0,0,0,1,0,0,na,na
118,3.0,1001 - 5000 ,119.5,CA,24,1,1,0,0,1,1,0,0,0,0,0,1,0,na,M
119,3.2,1001 - 5000 ,134.0,NC,21,0,1,1,0,1,0,0,0,0,0,0,0,0,sr,na
120,4.4,201 - 500 ,100.5,MA,22,1,0,0,1,1,0,0,0,1,0,0,1,1,na,na
121,3.5,1001 - 5000 ,107.5,OH,143,1,0,0,0,1,0,0,0,0,0,0,1,0,na,M
122,4.0,51 - 200 ,122.0,DC,6,1,1,1,0,1,0,0,0,0,0,0,0,0,na,na
123,4.3,1001 - 5000 ,92.5,IL,28,1,1,0,1,1,0,0,0,0,0,1,0,0,na,na
124,2.3,501 - 1000 ,62.0,MD,35,0,0,0,1,1,0,0,0,0,0,0,0,0,na,na
125,4.0,51 - 200 ,39.5,AL,21,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na
126,3.6,1001 - 5000 ,107.5,CA,55,0,0,0,1,0,0,0,0,0,0,0,1,0,na,M
127,3.8,501 - 1000 ,40.5,MO,4,1,0,1,1,1,0,0,0,0,0,0,1,0,na,na
128,3.7,10000+ ,89.5,VA,63,1,1,0,0,1,0,0,0,0,0,1,1,0,sr,M
129,4.4,201 - 500 ,81.0,IL,13,1,0,1,1,1,0,0,0,0,0,1,1,0,na,na
130,4.0,501 - 1000 ,147.0,VA,9,1,0,1,0,0,0,1,0,0,1,0,0,0,sr,na
131,3.2,1001 - 5000 ,85.0,TX,63,1,0,0,1,1,1,0,0,0,0,0,1,1,na,na
132,2.9,1001 - 5000 ,81.5,CA,50,0,0,0,1,0,0,0,0,0,0,0,0,0,na,M
133,3.8,1001 - 5000 ,168.0,CA,24,0,0,0,1,0,0,0,0,0,0,0,0,0,na,P
134,4.3,1 - 50 ,100.5,CO,14,1,1,1,1,1,0,0,0,0,1,1,0,0,na,na
135,3.4,1001 - 5000 ,97.0,NY,78,1,1,0,1,1,0,0,0,0,0,1,1,0,na,M
138,5.0,51 - 200 ,132.5,FL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na
139,4.3,51 - 200 ,100.0,IL,13,0,1,0,1,1,0,0,0,0,0,0,0,0,na,na
140,3.7,201 - 500 ,105.0,CO,10,1,0,0,0,1,0,0,0,0,0,0,0,0,sr,M
141,4.2,10000+ ,87.0,UT,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,na,M
142,4.3,51 - 200 ,103.5,CA,8,0,0,0,1,1,0,0,0,0,0,0,0,0,na,na
143,2.6,501 - 1000 ,124.0,PA,37,1,0,0,1,0,0,0,0,0,0,0,0,0,sr,M
144,3.8,1001 - 5000 ,67.0,WA,56,1,0,0,0,0,0,0,0,0,0,0,0,0,na,P
145,3.9,10000+ ,87.0,DC,21,0,0,0,0,0,0,0,0,0,0,0,0,0,na,M
146,4.3,201 - 500 ,137.5,IL,10,1,1,1,1,0,0,1,0,1,1,1,0,0,na,P
147,3.8,201 - 500 ,100.0,OH,34,1,0,0,1,1,0,0,0,1,0,0,0,1,sr,M
148,3.8,5001 - 10000 ,106.5,TN,76,0,0,0,1,1,1,0,0,0,0,0,1,0,na,na
149,3.8,1001 - 5000 ,98.5,WA,56,0,0,0,0,0,0,0,0,0,0,0,0,0,sr,P
150,4.8,501 - 1000 ,61.0,FL,11,1,0,0,1,1,0,0,0,0,0,0,0,0,sr,M
151,4.4,51 - 200 ,106.5,IN,13,1,1,1,0,1,0,0,0,0,0,0,0,0,sr,na
152,3.9,51 - 200 ,84.5,MA,16,1,1,0,0,1,0,0,0,0,0,0,0,0,na,na
153,3.4,1001 - 5000 ,109.5,NJ,175,1,0,0,1,0,0,0,0,0,0,0,1,1,na,M
154,3.6,5001 - 10000 ,164.0,MA,170,1,1,1,0,1,0,0,0,1,0,1,0,0,sr,P
155,3.9,10000+ ,169.0,CA,45,1,1,0,1,1,0,0,0,0,0,1,0,0,sr,P
156,3.8,5001 - 10000 ,142.0,CA,25,1,1,1,1,0,0,0,0,1,1,0,0,0,sr,P
157,3.7,10000+ ,76.5,MA,240,0,0,0,1,0,0,0,0,0,0,0,0,0,na,P
158,3.8,501 - 1000 ,107.0,MD,40,1,0,0,1,1,0,0,0,0,0,0,1,0,na,M
159,3.5,10000+ ,171.5,CA,51,1,0,1,0,1,0,0,0,0,0,1,0,0,na,M
162,4.2,10000+ ,107.0,UT,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,na,M
163,3.5,1001 - 5000 ,145.0,MA,11,1,0,0,1,0,0,0,0,0,0,0,0,0,sr,P
164,2.9,201 - 500 ,61.5,VA,28,1,0,0,1,1,0,0,0,0,0,0,1,1,sr,M
165,3.6,5001 - 10000 ,42.0,PA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na
166,2.7,51 - 200 ,120.0,WI,70,1,0,0,0,1,0,0,0,0,0,0,1,1,na,na
167,4.4,201 - 500 ,62.0,MA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,na,P
168,4.0,5001 - 10000 ,150.5,CA,39,1,1,0,0,1,1,0,0,1,1,1,0,0,sr,P
169,4.3,201 - 500 ,87.5,MI,54,0,0,0,1,1,0,0,0,0,0,0,1,0,na,na
170,4.2,51 - 200 ,71.5,FL,15,1,1,1,1,1,0,0,0,0,0,1,0,0,na,na
171,3.6,51 - 200 ,51.5,CA,15,0,0,0,1,0,0,0,0,0,0,0,0,0,na,na
172,3.7,10000+ ,151.5,CA,240,0,0,0,1,0,0,0,0,0,0,0,0,0,sr,M
173,2.8,201 - 500 ,77.5,NJ,7,1,0,0,1,1,0,0,0,0,0,0,1,0,sr,na
174,3.7,10000+ ,140.0,MA,240,0,0,0,1,0,0,0,0,0,0,0,0,0,sr,M
175,3.3,1001 - 5000 ,98.5,NJ,39,0,0,0,1,1,1,0,0,0,0,0,0,0,sr,M
176,-1.0,51 - 200 ,225.0,CA,4,1,0,1,1,0,0,0,0,0,0,0,1,0,sr,na
177,3.6,1001 - 5000 ,56.5,DE,86,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na
178,3.7,10000+ ,161.5,MA,240,0,0,0,0,0,0,0,0,0,0,0,0,0,sr,M
179,3.4,1001 - 5000 ,147.0,NY,73,1,1,1,0,1,0,1,1,1,1,1,0,0,sr,na
180,4.1,501 - 1000 ,61.0,MO,60,0,0,0,1,1,0,0,0,0,0,0,0,0,na,M
181,2.6,501 - 1000 ,120.0,PA,37,1,0,0,0,0,0,0,0,0,0,0,0,0,na,P
182,3.2,1001 - 5000 ,124.5,AZ,13,1,0,0,1,1,0,1,0,0,1,0,0,0,na,na
183,3.9,51 - 200 ,148.0,CA,12,1,0,0,0,0,0,0,0,0,0,0,0,0,sr,M
184,4.7,51 - 200 ,59.0,AL,25,1,0,0,1,0,0,0,0,0,0,0,0,0,na,na
185,3.7,5001 - 10000 ,146.5,MA,169,1,0,0,1,1,1,0,0,0,0,0,0,0,sr,M
186,2.9,201 - 500 ,91.5,MA,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,na,P
187,3.0,501 - 1000 ,133.0,IL,6,1,0,1,0,1,0,0,1,1,1,0,0,0,sr,P
188,4.7,51 - 200 ,140.5,UT,8,1,0,1,0,0,0,1,1,1,1,0,0,0,sr,na
189,3.7,501 - 1000 ,70.5,LA,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,na,na
190,3.3,10000+ ,84.5,NY,7,0,0,0,0,0,0,0,0,0,0,0,0,0,sr,P
191,4.0,51 - 200 ,93.5,MD,19,0,0,0,1,0,0,0,0,0,0,0,0,0,na,M
192,4.4,201 - 500 ,134.5,MA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,sr,P
193,3.9,201 - 500 ,181.0,CA,14,1,1,0,0,1,0,0,0,1,1,0,0,0,na,na
194,3.3,10000+ ,84.5,NY,7,0,0,0,0,0,0,0,0,0,0,0,0,0,sr,P
195,4.1,51 - 200 ,205.0,CA,11,1,1,1,0,1,0,0,0,0,0,0,0,0,sr,na
196,3.6,1001 - 5000 ,48.5,CA,35,0,0,0,1,1,1,0,0,0,0,0,1,0,na,M
197,4.0,1001 - 5000 ,44.5,TX,44,0,0,1,0,0,0,0,0,0,0,0,0,0,na,na
198,2.4,501 - 1000 ,52.5,IL,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na
199,2.6,501 - 1000 ,124.0,PA,37,0,0,0,0,0,0,0,0,0,0,0,0,0,sr,P
200,3.5,501 - 1000 ,64.0,CA,25,0,0,0,0,1,0,0,0,0,0,0,1,0,na,na
201,3.0,10000+ ,98.0,TN,63,1,0,0,0,1,0,0,0,0,0,0,0,0,sr,M
202,3.6,1001 - 5000 ,56.5,DE,86,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na
203,3.3,501 - 1000 ,54.0,WI,57,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na
204,2.7,201 - 500 ,81.0,MD,60,0,0,0,1,0,0,0,0,0,0,0,0,0,na,P
205,3.4,1001 - 5000 ,107.5,IL,16,0,0,0,0,1,0,0,0,0,0,0,0,0,sr,na
207,3.7,10000+ ,89.0,VA,26,1,1,0,1,1,0,0,0,0,0,1,1,0,na,na
208,4.8,1001 - 5000 ,100.5,WI,96,0,0,0,0,0,1,0,0,0,0,0,0,0,sr,M
209,3.8,1001 - 5000 ,65.0,NY,19,0,0,0,1,1,0,0,0,0,0,0,1,1,na,na
210,3.4,10000+ ,41.5,LA,91,0,0,0,0,0,0,0,0,0,0,0,0,0,na,M
211,4.3,201 - 500 ,72.5,TX,22,1,1,1,1,1,0,0,0,0,0,1,1,1,na,M
215,3.4,51 - 200 ,87.5,IL,29,0,0,0,0,1,1,0,0,0,0,0,0,0,na,na
216,3.1,1001 - 5000 ,92.5,CA,24,1,0,0,1,1,0,0,0,0,0,1,1,0,na,na
217,3.2,5001 - 10000 ,81.5,VA,63,1,1,0,0,0,0,0,0,0,0,1,0,0,na,na
218,4.3,1001 - 5000 ,79.0,OH,40,0,0,0,0,1,0,0,0,0,0,0,0,0,na,na
222,2.8,501 - 1000 ,47.5,CA,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,na,na
224,3.4,51 - 200 ,69.0,CA,8,1,0,0,1,1,0,0,0,0,0,0,1,1,na,na
225,4.0,201 - 500 ,49.0,ID,37,1,0,0,1,1,0,0,0,0,0,0,1,0,na,na
228,3.7,201 - 500 ,59.0,NJ,25,0,0,0,1,0,0,0,0,0,0,0,0,0,na,M
229,3.5,201 - 500 ,88.5,IN,2,0,0,1,0,0,0,0,0,0,0,0,0,0,na,M
233,4.7,201 - 500 ,114.5,NY,29,1,0,0,1,1,0,0,0,0,0,0,1,0,na,M
235,4.4,1001 - 5000 ,88.0,TN,15,1,1,1,1,1,0,0,0,0,0,1,0,0,na,na
236,4.1,501 - 1000 ,100.0,IL,20,1,1,1,0,1,0,0,0,0,0,1,0,0,na,na
238,2.5,1001 - 5000 ,96.5,OR,22,1,1,0,0,1,0,0,0,0,0,0,0,0,na,na
239,4.2,201 - 500 ,76.0,MN,29,1,0,0,1,1,0,0,0,0,0,0,0,0,na,na
240,3.9,1001 - 5000 ,15.5,NY,55,0,0,0,1,0,0,0,0,0,0,0,0,0,na,na
241,4.3,1 - 50 ,83.5,TX,11,1,0,0,1,1,0,0,0,0,0,0,0,0,na,na
243,3.9,10000+ ,163.0,CA,45,0,0,0,1,1,1,0,0,0,0,0,0,0,na,M
244,3.4,501 - 1000 ,100.0,RI,82,0,0,1,0,1,1,0,0,0,0,0,0,0,sr,na
245,3.8,1001 - 5000 ,52.5,NE,104,0,0,0,1,0,0,0,0,0,0,0,0,0,na,P
247,3.3,501 - 1000 ,50.0,DC,138,0,0,0,1,1,0,0,0,0,0,0,1,1,jr,M
248,3.4,201 - 500 ,93.0,TX,15,1,0,1,0,1,0,0,0,0,0,1,1,1,na,M
249,3.0,1001 - 5000 ,94.5,OH,134,1,0,0,0,1,1,0,0,0,0,0,0,0,na,na
251,3.7,1001 - 5000 ,102.0,NC,17,1,1,1,1,1,1,0,0,1,0,1,1,0,na,M
256,3.2,1 - 50 ,155.0,PA,-1,1,1,1,1,0,0,0,0,1,0,1,0,0,sr,M
258,3.9,51 - 200 ,108.0,CA,21,1,1,0,0,1,1,0,1,1,1,0,0,0,na,M
263,4.2,501 - 1000 ,63.5,ID,17,0,0,0,1,1,0,0,0,0,0,0,0,0,na,na
264,4.0,1 - 50 ,109.0,CA,-1,1,0,0,0,1,0,0,0,0,0,0,1,0,na,na
265,3.5,5001 - 10000 ,96.0,TN,171,1,0,0,0,0,0,1,1,0,1,0,0,0,na,M
267,3.2,1001 - 5000 ,101.0,CA,13,1,0,1,1,1,0,0,0,0,0,0,1,0,na,na
269,3.9,1001 - 5000 ,77.5,IA,73,0,0,0,1,1,0,0,0,0,0,1,0,0,na,na
273,3.5,10000+ ,90.0,CA,24,1,0,0,1,1,0,1,0,1,0,0,1,0,na,na
274,4.3,501 - 1000 ,58.0,NJ,119,0,0,1,0,1,0,0,0,0,0,0,0,0,na,na
277,3.6,1001 - 5000 ,128.0,NY,277,1,0,0,0,0,0,0,0,0,0,0,0,0,na,na
280,2.3,201 - 500 ,101.0,DC,18,1,0,0,1,1,0,0,0,0,0,0,1,0,na,M
